ID,FilePath,Description
video_001,data/Terror_Fear_0309.mp4,Terror - Fear emotion video
video_002,data/Liveshow_Neutral_0025.mp4,Liveshow - Neutral emotion video
video_003,data/ElegantArt_Angry_0074.mp4,ElegantArt - Angry emotion video
video_004,data/Business_Surprise_0129.mp4,Business - Surprise emotion video
video_005,data/Experiment_Happy_0007.mp4,Experiment - Happy emotion video
video_006,data/Social_Neutral_0180.mp4,Social - Neutral emotion video
video_007,data/School_Disgust_0166.mp4,School - Disgust emotion video
video_008,data/DailyLife_Happy_0376.mp4,DailyLife - Happy emotion video
video_009,data/School_Sad_0088.mp4,School - Sad emotion video
video_010,data/War_Angry_0224.mp4,War - Angry emotion video
video_011,data/Terror_Neutral_0033.mp4,Terror - Neutral emotion video
video_012,data/School_Angry_0140.mp4,School - Angry emotion video
video_013,data/Contest_Surprise_0130.mp4,Contest - Surprise emotion video
video_014,data/Argue_Surprise_0094.mp4,Argue - Surprise emotion video
video_015,data/History_Neutral_0215.mp4,History - Neutral emotion video
video_016,data/School_Disgust_0026.mp4,School - Disgust emotion video
video_017,data/War_Sad_0565.mp4,War - Sad emotion video
video_018,data/DailyLife_Sad_0010.mp4,DailyLife - Sad emotion video
video_019,data/Action_Neutral_0080.mp4,Action - Neutral emotion video
video_020,data/Terror_Happy_0024.mp4,Terror - Happy emotion video
video_021,data/War_Happy_0088.mp4,War - Happy emotion video
video_022,data/DailyLife_Neutral_0447.mp4,DailyLife - Neutral emotion video
video_023,data/ElegantArt_Happy_0016.mp4,ElegantArt - Happy emotion video
video_024,data/ScholarReport_Fear_0039.mp4,ScholarReport - Fear emotion video
video_025,data/Liveshow_Disgust_0055.mp4,Liveshow - Disgust emotion video
video_026,data/Contest_Fear_0056.mp4,Contest - Fear emotion video
video_027,data/Contest_Neutral_0286.mp4,Contest - Neutral emotion video
video_028,data/Interview_Fear_0014.mp4,Interview - Fear emotion video
video_029,data/Contest_Surprise_0104.mp4,Contest - Surprise emotion video
video_030,data/DailyLife_Fear_0057.mp4,DailyLife - Fear emotion video
video_031,data/School_Neutral_0324.mp4,School - Neutral emotion video
video_032,data/Talkshow_Neutral_0312.mp4,Talkshow - Neutral emotion video
video_033,data/DailyLife_Disgust_0020.mp4,DailyLife - Disgust emotion video
video_034,data/DailyLife_Fear_0090.mp4,DailyLife - Fear emotion video
video_035,data/History_Fear_0142.mp4,History - Fear emotion video
video_036,data/Argue_Sad_0200.mp4,Argue - Sad emotion video
video_037,data/Terror_Sad_0165.mp4,Terror - Sad emotion video
video_038,data/Social_Disgust_0079.mp4,Social - Disgust emotion video
video_039,data/Terror_Fear_0127.mp4,Terror - Fear emotion video
video_040,data/Social_Fear_0025.mp4,Social - Fear emotion video
video_041,data/Contest_Disgust_0080.mp4,Contest - Disgust emotion video
video_042,data/Contest_Sad_0028.mp4,Contest - Sad emotion video
video_043,data/ElegantArt_Angry_0166.mp4,ElegantArt - Angry emotion video
video_044,data/Argue_Happy_0226.mp4,Argue - Happy emotion video
video_045,data/Contest_Angry_0163.mp4,Contest - Angry emotion video
video_046,data/Interview_Disgust_0026.mp4,Interview - Disgust emotion video
video_047,data/School_Fear_0022.mp4,School - Fear emotion video
video_048,data/Argue_Happy_0162.mp4,Argue - Happy emotion video
video_049,data/Conflict_Neutral_0215.mp4,Conflict - Neutral emotion video
video_050,data/Terror_Angry_0102.mp4,Terror - Angry emotion video
