Attempt,Interval Time (sec),,,
1,2.58,,,Time (sec)
2,1.29,,Median,1.4050
3,1.53,,Average,1.5756
4,1.56,,,
5,1.27,,,
6,1.23,,,
7,1.56,,,
8,1.29,,,
9,1.05,,,
10,1.62,,,
11,1.33,,,
12,1.28,,,
13,0.99,,,
14,1.16,,,
15,1.3,,,
16,2.18,,,
17,1.73,,,
18,1.3,,,
19,1.25,,,
20,1.48,,,
21,2.04,,,
22,2.47,,,
23,4.96,,,
24,1.41,,,
25,1.59,,,
26,1.38,,,
27,1.66,,,
28,1.61,,,
29,1.38,,,
30,1.2,,,
31,1.37,,,
32,1.73,,,
33,1.95,,,
34,1.54,,,
35,1.25,,,
36,1.37,,,
37,1.26,,,
38,2.55,,,
39,1.36,,,
40,1.89,,,
41,1.08,,,
42,1.54,,,
43,1.41,,,
44,1.4,,,
45,1.34,,,
46,1.57,,,
47,1.18,,,
48,1.44,,,
49,1.39,,,
50,1.48,,,
